Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
28.07.2024,Sun,00:00,00:45,00:45,"법학전문대학원 로스쿨 입시, 변호사 시험, 채용 시장 등 정보 획득 등",,,,,문기옥,
28.07.2024,Sun,00:45,01:06,00:21,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
28.07.2024,Sun,01:06,01:08,00:02,면도,,,,,,
28.07.2024,Sun,01:08,02:06,00:58,유튜브 랄로 시청 등,,,,,,
28.07.2024,Sun,02:06,02:16,00:10,유튜브 랄로 시청 등,,,,,,
28.07.2024,Sun,02:16,02:45,00:29,유튜브 랄로 시청 등,,,,,,
28.07.2024,Sun,02:45,02:49,00:04,유튜브 랄로 시청 등,,,,,,
28.07.2024,Sun,02:49,03:08,00:19,유튜브 랄로 시청 등,,,,,,
28.07.2024,Sun,03:08,05:26,02:18,잠,잠,잠,,,,
28.07.2024,Sun,05:26,05:27,00:01,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
28.07.2024,Sun,05:27,05:28,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
28.07.2024,Sun,05:28,05:32,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
28.07.2024,Sun,05:32,05:48,00:16,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
28.07.2024,Sun,05:48,05:53,00:05,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,05:53,06:07,00:14,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,06:07,06:14,00:07,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
28.07.2024,Sun,06:14,06:17,00:03,Duolingo 이탈리아어 (<-영어),공부,이탈리아어,,,,
28.07.2024,Sun,06:17,06:20,00:03,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
28.07.2024,Sun,06:20,06:23,00:03,Duolingo 독일어 (<-영어),공부,독일어,,,,
28.07.2024,Sun,06:23,06:24,00:01,Duolingo 힌디어 (<-영어),,,,,,
28.07.2024,Sun,06:24,06:33,00:09,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
28.07.2024,Sun,06:33,06:45,00:12,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,06:45,06:52,00:07,"주일 1부 아침 예배, 준비",,,,,,
28.07.2024,Sun,06:52,08:09,01:17,"주일 1부 아침 예배, 준비",,,,,,
28.07.2024,Sun,08:09,08:30,00:21,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,08:30,08:35,00:05,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,08:35,08:40,00:05,전화 준비 및 실행,행정,전화,,,,
28.07.2024,Sun,08:40,08:43,00:03,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,08:43,08:48,00:05,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,08:48,08:51,00:03,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,08:51,09:14,00:23,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,09:14,09:34,00:20,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,09:34,09:50,00:16,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,09:50,10:01,00:11,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
28.07.2024,Sun,10:01,10:04,00:03,"법학전문대학원 로스쿨 입시, 변호사 시험, 채용 시장 등 정보 획득 등",,,,,문기옥,
28.07.2024,Sun,10:04,10:05,00:01,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,10:05,10:22,00:17,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,10:22,10:24,00:02,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,10:24,10:29,00:05,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,10:29,10:44,00:15,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
28.07.2024,Sun,10:44,10:51,00:07,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,10:51,11:10,00:19,서점,,,,,문기옥,
28.07.2024,Sun,11:10,11:16,00:06,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,11:16,11:18,00:02,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,11:18,11:22,00:04,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,11:22,11:26,00:04,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,11:26,11:37,00:11,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,11:37,11:38,00:01,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
28.07.2024,Sun,11:38,11:39,00:01,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,11:39,11:42,00:03,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,11:42,11:52,00:10,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,11:52,11:56,00:04,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,11:56,12:17,00:21,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
28.07.2024,Sun,12:17,12:27,00:10,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:27,12:28,00:01,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:28,12:29,00:01,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
28.07.2024,Sun,12:29,12:30,00:01,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:30,12:31,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
28.07.2024,Sun,12:31,12:32,00:01,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:32,12:36,00:04,"차 마시기, 준비",,,,,,
28.07.2024,Sun,12:36,12:40,00:04,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:40,12:42,00:02,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:42,12:49,00:07,양치질,생활,양치질,,,,
28.07.2024,Sun,12:49,12:50,00:01,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:50,12:51,00:01,가글 등,,,,,,
28.07.2024,Sun,12:51,12:52,00:01,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,12:52,12:55,00:03,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
28.07.2024,Sun,12:55,12:58,00:03,"법학전문대학원 로스쿨 입시, 변호사 시험, 채용 시장 등 정보 획득 등",,,,,문기옥,
28.07.2024,Sun,12:58,13:02,00:04,"학자금 대출, 국가장학금 관련 조회, 계산, 탐색",,,,,,
28.07.2024,Sun,13:02,13:04,00:02,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,13:04,13:09,00:05,서류 등 발급,,,,,,
28.07.2024,Sun,13:09,13:13,00:04,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,13:13,14:01,00:48,"법학전문대학원 로스쿨 입시, 변호사 시험, 채용 시장 등 정보 획득 등",,,,,문기옥,
28.07.2024,Sun,14:01,14:31,00:30,"법학전문대학원 로스쿨 입시, 변호사 시험, 채용 시장 등 정보 획득 등",,,,,문기옥,
28.07.2024,Sun,14:31,14:34,00:03,화장실,생활,화장실,,,,
28.07.2024,Sun,14:34,14:40,00:06,인터넷 커뮤니티 고파스 서핑,,,,,,
28.07.2024,Sun,14:40,14:42,00:02,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
28.07.2024,Sun,14:42,14:57,00:15,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,14:57,15:04,00:07,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,15:04,15:09,00:05,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,15:09,15:20,00:11,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,15:20,15:24,00:04,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,15:24,15:27,00:03,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
28.07.2024,Sun,15:27,15:34,00:07,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,15:34,15:44,00:10,서점,,,,,문기옥,
28.07.2024,Sun,15:44,15:51,00:07,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,15:51,16:12,00:21,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,16:12,16:17,00:05,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,16:17,16:24,00:07,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,16:24,16:33,00:09,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,16:33,16:56,00:23,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,16:56,16:58,00:02,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,16:58,18:31,01:33,밀알부 심방 등,,,,,문기옥,
28.07.2024,Sun,18:31,18:38,00:07,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,18:38,18:56,00:18,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,18:56,18:59,00:03,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,18:59,19:07,00:08,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,19:07,19:22,00:15,머리카락 자르기,생활,머리카락 자르기,,,,
28.07.2024,Sun,19:22,19:45,00:23,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,19:45,20:00,00:15,서점,,,,,문기옥,
28.07.2024,Sun,20:00,20:06,00:06,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,20:06,20:13,00:07,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
28.07.2024,Sun,20:13,20:16,00:03,"이동 준비, 이동 등",생활,이동,,,,
28.07.2024,Sun,20:16,20:34,00:18,책 불합격을 피하는 법 (최규호),,,,,,
28.07.2024,Sun,20:34,20:55,00:21,"이동 준비, 이동 등",생활,이동,,,,
